Transaction ID,Customer ID,Transaction Date,Product ID,Category,Sub-category,Brand,Size,Color,Pattern,Material,Price,Discount
1,1057,2024-07-08,2235,Jacket,Winter,BrandE,L,White,Checked,Cotton,94.58,5
2,1039,2024-01-29,2533,Shirt,Formal,BrandC,M,White,Striped,Silk,30.19,20
3,1048,2024-07-27,2976,Skirt,Mini,BrandE,XS,Green,Checked,Denim,26.42,0
4,1068,2024-03-05,2791,Shirt,Casual,BrandA,M,Black,Printed,Polyester,39.54,10
5,1055,2024-09-09,2229,Pants,Jeans,BrandB,XL,Black,Solid,Cotton,32.11,0
6,1061,2024-08-11,2374,Pants,Shorts,BrandA,XS,Blue,Printed,Wool,53.61,15
7,1097,2024-11-19,2564,Skirt,Midi,BrandE,XL,Black,Striped,Silk,46.85,15
8,1079,2024-06-23,2630,Pants,Jeans,BrandA,M,Pink,Checked,Denim,55.04,10
9,1053,2024-04-25,2688,Pants,Chinos,BrandC,M,Blue,Striped,Denim,50.03,15
10,1061,2024-12-05,2783,Skirt,Mini,BrandB,S,Pink,Solid,Cotton,41.24,15
11,1089,2024-10-21,2127,Dress,Evening,BrandB,XS,Green,Checked,Denim,46.86,15
12,1077,2024-10-16,2822,Dress,Evening,BrandC,S,Yellow,Striped,Wool,51.01,10
13,1080,2024-10-11,2889,Skirt,Mini,BrandE,L,Black,Striped,Denim,35.76,15
14,1008,2024-07-28,2902,Skirt,Maxi,BrandE,XL,Pink,Checked,Polyester,37.9,5
15,1010,2024-06-25,2673,Shirt,Formal,BrandB,M,Green,Striped,Denim,23.22,20
16,1003,2024-04-05,2967,Jacket,Denim,BrandD,XL,Yellow,Solid,Cotton,104.6,0
17,1047,2024-10-11,2529,Pants,Jeans,BrandE,S,Pink,Checked,Denim,30.62,10
18,1070,2024-06-10,2646,Shirt,Casual,BrandC,M,Blue,Striped,Cotton,30.07,5
19,1092,2024-02-17,2732,Dress,Casual,BrandE,XL,Yellow,Printed,Polyester,33.0,10
20,1084,2024-06-26,2348,Skirt,Mini,BrandC,XS,White,Solid,Denim,28.03,0
21,1045,2024-05-17,2318,Dress,Casual,BrandD,XS,White,Solid,Cotton,53.0,10
22,1005,2024-11-07,2579,Dress,Party,BrandB,S,White,Checked,Polyester,81.1,20
23,1006,2024-05-27,2721,Dress,Casual,BrandB,XS,Red,Solid,Silk,30.48,10
24,1012,2024-01-10,2788,Skirt,Mini,BrandD,S,White,Solid,Cotton,34.09,20
25,1039,2024-07-02,2674,Dress,Party,BrandC,S,Green,Striped,Wool,46.23,10
26,1024,2024-04-18,2381,Pants,Jeans,BrandC,XS,Yellow,Striped,Wool,35.83,10
27,1082,2024-05-10,2624,Skirt,Mini,BrandD,XS,Yellow,Solid,Denim,40.98,10
28,1062,2024-03-13,2518,Pants,Chinos,BrandE,XS,Blue,Printed,Wool,52.81,0
29,1022,2024-03-12,2565,Dress,Evening,BrandA,S,Red,Checked,Silk,82.97,15
30,1057,2024-01-15,2277,Jacket,Leather,BrandA,L,Yellow,Striped,Wool,111.4,10
31,1049,2024-12-28,2445,Pants,Chinos,BrandD,XL,White,Striped,Denim,61.5,20
32,1078,2024-12-01,2357,Shirt,Casual,BrandB,XS,Pink,Printed,Polyester,59.89,5
33,1054,2024-04-03,2299,Dress,Casual,BrandD,XS,Blue,Checked,Cotton,79.82,0
34,1025,2024-01-27,2346,Skirt,Midi,BrandC,M,Blue,Printed,Polyester,40.21,10
35,1031,2024-10-09,2529,Shirt,Casual,BrandE,S,Yellow,Printed,Denim,59.14,5
36,1042,2024-09-18,2926,Skirt,Mini,BrandB,M,Black,Printed,Wool,22.88,15
37,1100,2024-02-23,2147,Skirt,Mini,BrandB,S,Pink,Printed,Wool,21.86,0
38,1094,2024-08-05,2047,Jacket,Winter,BrandB,M,Pink,Striped,Cotton,143.93,0
39,1031,2024-05-24,2279,Skirt,Mini,BrandA,M,Black,Solid,Polyester,47.47,10
40,1082,2024-01-29,2692,Pants,Chinos,BrandE,S,White,Checked,Cotton,56.67,15
41,1050,2024-10-30,2580,Shirt,Formal,BrandC,XS,Black,Solid,Silk,59.91,5
42,1039,2024-11-19,2213,Pants,Shorts,BrandB,M,Yellow,Solid,Polyester,59.09,10
43,1088,2024-02-12,2230,Skirt,Mini,BrandB,S,Black,Striped,Cotton,45.94,15
44,1002,2024-01-20,2315,Jacket,Denim,BrandD,XL,Yellow,Printed,Wool,75.37,15
45,1001,2024-02-04,2710,Jacket,Denim,BrandE,XS,Blue,Checked,Polyester,142.56,15
46,1017,2024-12-04,2015,Dress,Casual,BrandA,S,Pink,Striped,Cotton,38.15,0
47,1003,2024-09-12,2059,Skirt,Midi,BrandB,S,Blue,Printed,Denim,31.22,10
48,1098,2024-01-27,2054,Shirt,Formal,BrandC,S,Black,Printed,Cotton,39.27,10
49,1021,2024-09-13,2191,Shirt,Formal,BrandB,L,Red,Striped,Polyester,20.17,15
50,1064,2024-10-13,2408,Pants,Shorts,BrandD,L,Green,Printed,Silk,58.8,20
51,1053,2024-02-09,2592,Pants,Shorts,BrandB,M,White,Printed,Wool,30.73,10
52,1028,2024-03-23,2416,Jacket,Winter,BrandC,M,White,Striped,Polyester,66.83,0
53,1079,2024-12-19,2614,Shirt,Casual,BrandD,XL,Green,Striped,Polyester,39.35,5
54,1080,2024-03-04,2969,Skirt,Mini,BrandC,M,Black,Striped,Silk,20.01,15
55,1044,2024-01-20,2502,Dress,Casual,BrandB,XL,Black,Striped,Polyester,68.83,15
56,1042,2024-06-11,2780,Dress,Casual,BrandA,XL,White,Striped,Denim,84.74,0
57,1035,2024-02-20,2927,Shirt,Casual,BrandC,XS,White,Solid,Polyester,45.35,0
58,1092,2024-09-07,2861,Shirt,Casual,BrandE,M,Yellow,Solid,Cotton,45.6,20
59,1068,2024-11-01,2798,Jacket,Leather,BrandA,XL,Yellow,Solid,Cotton,85.49,0
60,1015,2024-06-29,2008,Dress,Evening,BrandC,M,Black,Printed,Silk,98.53,20
61,1046,2024-09-15,2686,Shirt,Casual,BrandC,XS,Green,Printed,Silk,23.59,0
62,1068,2024-10-10,2555,Pants,Jeans,BrandB,XS,Blue,Printed,Wool,65.21,0
63,1028,2024-10-15,2063,Dress,Evening,BrandC,XL,White,Checked,Cotton,65.29,5
64,1081,2024-09-27,2602,Jacket,Leather,BrandB,L,Black,Striped,Wool,137.08,20
65,1094,2024-12-03,2491,Skirt,Mini,BrandE,XL,Pink,Solid,Polyester,33.37,5
66,1036,2024-10-12,2364,Dress,Evening,BrandC,M,Blue,Printed,Wool,31.07,20
67,1004,2024-09-24,2878,Shirt,Formal,BrandE,S,Red,Printed,Wool,30.61,10
68,1086,2024-12-23,2968,Dress,Party,BrandB,L,Yellow,Printed,Polyester,45.7,0
69,1008,2024-03-16,2863,Dress,Evening,BrandC,M,White,Striped,Silk,88.97,5
70,1086,2024-04-06,2776,Shirt,Formal,BrandD,XS,Green,Striped,Silk,41.1,5
71,1058,2024-10-19,2977,Pants,Jeans,BrandD,L,Pink,Solid,Polyester,32.79,10
72,1042,2024-10-16,2425,Dress,Casual,BrandC,XL,Blue,Solid,Denim,69.84,10
73,1052,2024-09-27,2741,Skirt,Midi,BrandE,XS,White,Solid,Polyester,23.75,20
74,1090,2024-08-17,2971,Pants,Jeans,BrandD,L,Pink,Striped,Wool,31.57,5
75,1021,2024-12-27,2798,Skirt,Midi,BrandE,M,Red,Solid,Silk,28.74,5
76,1047,2024-10-19,2637,Pants,Chinos,BrandD,L,Blue,Printed,Cotton,66.71,10
77,1088,2024-01-30,2706,Skirt,Mini,BrandB,L,Yellow,Checked,Denim,36.52,10
78,1046,2024-10-19,2971,Dress,Evening,BrandB,XL,Blue,Checked,Denim,86.33,10
79,1047,2024-04-02,2965,Pants,Jeans,BrandC,XS,Green,Checked,Polyester,30.57,0
80,1038,2024-06-26,2185,Jacket,Winter,BrandE,S,Green,Solid,Wool,96.0,5
81,1088,2024-02-15,2644,Shirt,Casual,BrandB,XS,Red,Striped,Silk,27.69,5
82,1053,2024-09-10,2137,Jacket,Winter,BrandC,XL,Black,Solid,Polyester,73.81,20
83,1032,2024-09-23,2218,Pants,Shorts,BrandD,XL,Yellow,Striped,Cotton,33.14,10
84,1086,2024-12-31,2587,Jacket,Winter,BrandB,L,Red,Checked,Cotton,140.62,0
85,1056,2024-06-02,2576,Dress,Casual,BrandC,L,Yellow,Striped,Wool,56.62,10
86,1086,2024-03-16,2148,Skirt,Mini,BrandD,M,White,Striped,Polyester,28.31,5
87,1089,2024-05-02,2945,Pants,Chinos,BrandC,XS,Red,Checked,Cotton,54.83,20
88,1043,2024-05-27,2328,Dress,Party,BrandE,S,White,Striped,Silk,49.4,20
89,1077,2024-09-26,2444,Skirt,Maxi,BrandD,M,Pink,Striped,Polyester,20.79,0
90,1085,2024-12-20,2680,Shirt,Casual,BrandB,M,Blue,Solid,Cotton,45.09,10
91,1083,2024-05-13,2000,Skirt,Maxi,BrandE,M,Black,Printed,Wool,25.29,10
92,1043,2024-01-11,2020,Dress,Casual,BrandC,S,Black,Striped,Denim,94.07,5
93,1071,2024-05-29,2763,Dress,Party,BrandE,M,Blue,Checked,Wool,41.93,5
94,1083,2024-11-15,2560,Dress,Casual,BrandC,XS,Blue,Striped,Denim,94.75,5
95,1068,2024-12-02,2204,Dress,Casual,BrandA,XS,Black,Striped,Cotton,98.39,0
96,1053,2024-05-14,2348,Jacket,Winter,BrandA,L,Blue,Solid,Cotton,97.91,5
97,1071,2024-09-28,2077,Pants,Shorts,BrandC,XS,Blue,Printed,Wool,67.21,10
98,1008,2024-02-28,2169,Jacket,Leather,BrandB,L,White,Printed,Cotton,136.81,0
99,1090,2024-12-08,2227,Jacket,Leather,BrandD,S,Green,Striped,Silk,146.35,20
100,1012,2024-10-19,2714,Skirt,Maxi,BrandE,XL,Green,Printed,Polyester,39.67,0
101,1012,2024-08-09,2000,Skirt,Maxi,BrandE,XL,Red,Printed,Cotton,31.88,0
102,1094,2024-12-06,2847,Skirt,Mini,BrandE,XS,Pink,Checked,Silk,23.46,20
103,1062,2024-10-19,2353,Skirt,Mini,BrandC,S,Pink,Solid,Wool,28.09,15
104,1043,2024-10-26,2544,Pants,Shorts,BrandD,S,White,Striped,Polyester,64.35,0
105,1029,2024-04-10,2938,Dress,Casual,BrandE,M,Pink,Printed,Silk,68.25,5
